UserID,Position,TupleID,Choice,Reason,User ID,Tuple Index,Tuple Name,Cluster,Pair Type,Original V1 Metric,Original V2 Metric,Swapped,Actual_Choice
UE064AED19,1,4,V1,"I found V1 more legible, whereas V2 did some questionable things (e.g. defining ""input = sys.stdin.readline"" for P1).",UE064AED19,4,cluster_1/tuple_2:cc_python_2_27:cc_python_27_5:cc_python_5,cluster_1,mi_vs_tokens,mi,tokens,Yes,tokens
UE064AED19,2,8,V1,V1 was generally more succinct than V2 for all problems.,UE064AED19,8,cluster_3/tuple_16:cc_python_16_19:cc_python_19_23:cc_python_23,cluster_3,logprob_vs_tokens,logprob,tokens,Yes,tokens
UE064AED19,3,41,V2,V2 led to a much nicer solution to P1.,UE064AED19,41,cluster_9/tuple_17:cc_python_17_16:cc_python_16_19:cc_python_19,cluster_9,mi_vs_tokens,mi,tokens,No,tokens
UE064AED19,4,1,V1,"V1's helpers seemed more targeted (e.g. is_spruce), and V2 again did some questionable things like redefining `input`.",UE064AED19,1,cluster_0/tuple_29:cc_python_29_19:cc_python_19_13:cc_python_13,cluster_0,mi_vs_tokens,mi,tokens,Yes,tokens
UE064AED19,5,18,EG,These versions seemed essentially identical to me.,UE064AED19,18,cluster_4/tuple_8:cc_python_8_9:cc_python_9_3:cc_python_3,cluster_4,mi_vs_logprob,mi,logprob,Yes,EG
UE064AED19,6,43,V1,"I had a preference for how V1 decomposed and recomposed helpers, for example by using topo_min(n, reverse_edges(edges)) in P3.",UE064AED19,43,cluster_9/tuple_8:cc_python_8_10:cc_python_10_20:cc_python_20,cluster_9,mi_vs_logprob,mi,logprob,Yes,logprob
UE064AED19,7,13,V1,"While both have similar helpers, only V1 uses them well to produce succinct solutions.",UE064AED19,13,cluster_3/tuple_7:cc_python_7_29:cc_python_29_0:cc_python_0,cluster_3,mi_vs_tokens,mi,tokens,Yes,tokens
UE064AED19,8,22,EG,The solutions were essentially identical.,UE064AED19,22,cluster_5/tuple_28:cc_python_28_1:cc_python_1_19:cc_python_19,cluster_5,mi_vs_tokens,mi,tokens,Yes,EG
UE064AED19,9,30,V2,V2's solutions used the helpers to avoid major loop nesting in the main body of the program.,UE064AED19,30,cluster_6/tuple_19:cc_python_19_14:cc_python_14_7:cc_python_7,cluster_6,mi_vs_logprob,mi,logprob,No,logprob
UE064AED19,10,40,EG,These versions were essentially identical.,UE064AED19,40,cluster_8/tuple_28:cc_python_28_3:cc_python_3_29:cc_python_29,cluster_8,logprob_vs_tokens,logprob,tokens,Yes,EG
U7FC4E8A3C,1,29,V2,"I slightly prefer version 2 because the variable naming in 2 is slighly better. However, there are some things still to improve such as imports inside functions and doing import *. I also prefer get_top_n not using sort but instead using the heap as it should be faster",U7FC4E8A3C,29,cluster_6/tuple_12:cc_python_12_2:cc_python_2_11:cc_python_11,cluster_6,logprob_vs_tokens,logprob,tokens,Yes,logprob
U7FC4E8A3C,2,26,V1,i slightly prefer this from not having global variables MOD and BAD and putting more things in helper functions like the sort so it can be refactored / improved if needed,U7FC4E8A3C,26,cluster_5/tuple_5:cc_python_5_29:cc_python_29_7:cc_python_7,cluster_5,logprob_vs_tokens,logprob,tokens,Yes,tokens
U7FC4E8A3C,3,0,V1,i prefer more functionality being in the helper functions to be refactored / optimized as needed,U7FC4E8A3C,0,cluster_0/tuple_29:cc_python_29_19:cc_python_19_13:cc_python_13,cluster_0,mi_vs_logprob,mi,logprob,No,mi
U7FC4E8A3C,4,23,V1,"i prefer more being in the helper function file, slightly prefer not having magic constants however, there are still some issues like several magic numbers not exposed as arguments, ideally if there are magic numbers it would be good to have it as a parameter with default argument",U7FC4E8A3C,23,cluster_5/tuple_28:cc_python_28_1:cc_python_1_19:cc_python_19,cluster_5,logprob_vs_tokens,logprob,tokens,Yes,tokens
U7FC4E8A3C,5,13,V1,I prefer more concise main functions wtith good naming of subroutines,U7FC4E8A3C,13,cluster_3/tuple_7:cc_python_7_29:cc_python_29_0:cc_python_0,cluster_3,mi_vs_tokens,mi,tokens,Yes,tokens
U7FC4E8A3C,6,42,V1,i don't like the repeated code in version 2,U7FC4E8A3C,42,cluster_9/tuple_17:cc_python_17_16:cc_python_16_19:cc_python_19,cluster_9,logprob_vs_tokens,logprob,tokens,No,logprob
U7FC4E8A3C,7,10,V1,i slightly prefer the naming corresponding to what the solution represents vs what the underlying solution approach is,U7FC4E8A3C,10,cluster_3/tuple_6:cc_python_6_21:cc_python_21_9:cc_python_9,cluster_3,mi_vs_tokens,mi,tokens,No,mi
U7FC4E8A3C,8,44,V2,i dont really like dfs util it separates out the dfs logic too much without good naming or reason for it,U7FC4E8A3C,44,cluster_9/tuple_8:cc_python_8_10:cc_python_10_20:cc_python_20,cluster_9,logprob_vs_tokens,logprob,tokens,Yes,logprob
U7FC4E8A3C,9,20,V1,i don,U7FC4E8A3C,20,cluster_4/tuple_8:cc_python_8_9:cc_python_9_3:cc_python_3,cluster_4,logprob_vs_tokens,logprob,tokens,Yes,tokens
U7FC4E8A3C,10,37,V1,i dont like the extra code in main in version 2,U7FC4E8A3C,37,cluster_8/tuple_24:cc_python_24_15:cc_python_15_10:cc_python_10,cluster_8,logprob_vs_tokens,logprob,tokens,No,logprob
