Cluster,Tuple,Pair_Type,Metric_1,Metric_2,logprob_Count,tokens_Count,EG_Count,Total_Responses,Winner,Win_Percentage,Participants,mi_Count
cluster_0,cluster_0/tuple_29:cc_python_29_19:cc_python_19_13:cc_python_13,logprob_vs_tokens,logprob,tokens,0.0,1.0,1,2,tokens,50.0,"U80A4E7CD4, UFC676F211",
cluster_0,cluster_0/tuple_29:cc_python_29_19:cc_python_19_13:cc_python_13,mi_vs_logprob,mi,logprob,1.0,,0,3,mi,66.7,"U7FC4E8A3C, U908EF07FE, UB271569B6",2.0
cluster_0,cluster_0/tuple_29:cc_python_29_19:cc_python_19_13:cc_python_13,mi_vs_tokens,mi,tokens,,2.0,0,3,tokens,66.7,"UE064AED19, U33109D65F, UACF3BE15C",1.0
cluster_1,cluster_1/tuple_2:cc_python_2_27:cc_python_27_5:cc_python_5,mi_vs_logprob,mi,logprob,2.0,,0,3,logprob,66.7,"UFABEA441A, UACF3BE15C, UFC676F211",1.0
cluster_1,cluster_1/tuple_2:cc_python_2_27:cc_python_27_5:cc_python_5,mi_vs_tokens,mi,tokens,,2.0,0,2,tokens,100.0,"UE064AED19, U4ED6E8EA5",0.0
cluster_2,cluster_2/tuple_5:cc_python_5_26:cc_python_26_22:cc_python_22,logprob_vs_tokens,logprob,tokens,0.0,4.0,0,4,tokens,100.0,"U33109D65F, U798B7CC2F, UB271569B6, UACF3BE15C",
cluster_2,cluster_2/tuple_5:cc_python_5_26:cc_python_26_22:cc_python_22,mi_vs_tokens,mi,tokens,,2.0,0,3,tokens,66.7,"U908EF07FE, U73F722CDB, UFABEA441A",1.0
cluster_3,cluster_3/tuple_16:cc_python_16_19:cc_python_19_23:cc_python_23,logprob_vs_tokens,logprob,tokens,1.0,1.0,1,3,TIE,33.3,"UE064AED19, U33109D65F, U908EF07FE",
cluster_3,cluster_3/tuple_16:cc_python_16_19:cc_python_19_23:cc_python_23,mi_vs_logprob,mi,logprob,1.0,,1,4,mi,50.0,"UB271569B6, U73F722CDB, UFABEA441A, U4ED6E8EA5",2.0
cluster_3,cluster_3/tuple_6:cc_python_6_21:cc_python_21_9:cc_python_9,logprob_vs_tokens,logprob,tokens,2.0,0.0,0,2,logprob,100.0,"UFABEA441A, U4ED6E8EA5",
cluster_3,cluster_3/tuple_6:cc_python_6_21:cc_python_21_9:cc_python_9,mi_vs_logprob,mi,logprob,2.0,,0,3,logprob,66.7,"UB271569B6, UACF3BE15C, UFC676F211",1.0
cluster_3,cluster_3/tuple_6:cc_python_6_21:cc_python_21_9:cc_python_9,mi_vs_tokens,mi,tokens,,3.0,0,4,tokens,75.0,"U7FC4E8A3C, U33109D65F, U798B7CC2F, U908EF07FE",1.0
cluster_3,cluster_3/tuple_7:cc_python_7_29:cc_python_29_0:cc_python_0,logprob_vs_tokens,logprob,tokens,0.0,1.0,0,1,tokens,100.0,UFC676F211,
cluster_3,cluster_3/tuple_7:cc_python_7_29:cc_python_29_0:cc_python_0,mi_vs_logprob,mi,logprob,0.0,,1,1,TIE,0.0,U33109D65F,0.0
