Participant #,User ID,Normal Link,Debug Link,Position,Cluster,Problems,Comparison Type,V1 Metric,V2 Metric
1,U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F&debugKey=xR9mK2nP7qL4wZ8v,1,cluster_4,cc_python_8 + cc_python_9 + cc_python_3,mi_vs_logprob,mi,logprob
1,U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F&debugKey=xR9mK2nP7qL4wZ8v,2,cluster_3,cc_python_7 + cc_python_29 + cc_python_0,mi_vs_logprob,mi,logprob
1,U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F&debugKey=xR9mK2nP7qL4wZ8v,3,cluster_6,cc_python_12 + cc_python_2 + cc_python_11,mi_vs_tokens,mi,tokens
1,U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F&debugKey=xR9mK2nP7qL4wZ8v,4,cluster_9,cc_python_17 + cc_python_16 + cc_python_19,logprob_vs_tokens,logprob,tokens
1,U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F&debugKey=xR9mK2nP7qL4wZ8v,5,cluster_1,cc_python_2 + cc_python_27 + cc_python_5,mi_vs_tokens,mi,tokens
1,U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F&debugKey=xR9mK2nP7qL4wZ8v,6,cluster_2,cc_python_5 + cc_python_26 + cc_python_22,logprob_vs_tokens,logprob,tokens
1,U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F&debugKey=xR9mK2nP7qL4wZ8v,7,cluster_7,cc_python_11 + cc_python_10 + cc_python_27,mi_vs_tokens,mi,tokens
1,U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F&debugKey=xR9mK2nP7qL4wZ8v,8,cluster_0,cc_python_29 + cc_python_19 + cc_python_13,mi_vs_logprob,mi,logprob
1,U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F&debugKey=xR9mK2nP7qL4wZ8v,9,cluster_5,cc_python_5 + cc_python_29 + cc_python_7,mi_vs_logprob,mi,logprob
1,U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F,https://zzigak.github.io/refactor_study/?id=U047DF6E8F&debugKey=xR9mK2nP7qL4wZ8v,10,cluster_8,cc_python_24 + cc_python_15 + cc_python_10,logprob_vs_tokens,logprob,tokens
2,U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7,https://zzigak.github.io/refactor_study/?id=U08EF07FE7&debugKey=xR9mK2nP7qL4wZ8v,1,cluster_4,cc_python_28 + cc_python_4 + cc_python_11,mi_vs_tokens,mi,tokens
